"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3423","deve exibir erro ao tentar logar com campos vazios","Login","2026-08-12","passed","2026-08-12","","","",""
"","21368","deve verificar e aplicar atualização disponível","Update Check","2026-08-12","passed","2026-08-12","","","",""
"","19423","deve acessar a home após inserir o PIN correto","Login","2026-08-12","failed","2026-08-12","","","",""
"","21875","deve verificar e aplicar atualização disponível","Update Check","2026-08-12","passed","2026-08-12","","","",""
"","19506","deve acessar a home após inserir o PIN correto","Login","2026-08-12","failed","2026-08-12","","","",""
"","3208","deve exibir erro ao tentar logar com campos vazios","Login","2026-08-12","passed","2026-08-12","","","",""
"","21815","deve acessar a home após inserir o PIN correto","Login","2026-08-12","failed","2026-08-12","","","",""
"","81701","""before all"" hook for Clientes","","2026-08-12","broken","2026-08-12","","","",""
"","21684","deve acessar a home após inserir o PIN correto","Login","2026-08-12","failed","2026-08-12","","","",""
"","14421","deve verificar e aplicar atualização disponível","Update Check","2026-08-12","passed","2026-08-12","","","",""
"","4872","deve exibir erro ao tentar logar com campos vazios","Login","2026-08-12","passed","2026-08-12","","","",""
"","14780","deve verificar e aplicar atualização disponível","Update Check","2026-08-12","passed","2026-08-12","","","",""
"","17143","deve verificar e aplicar atualização disponível","Update Check","2026-08-12","passed","2026-08-12","","","",""
"","4744","deve exibir erro ao tentar logar com campos vazios","Login","2026-08-12","passed","2026-08-12","","","",""
"","20142","deve acessar a home após inserir o PIN correto","Login","2026-08-12","failed","2026-08-12","","","",""
"","2665","deve exibir erro ao tentar logar com campos vazios","Login","2026-08-12","passed","2026-08-12","","","",""
